dim,spread,noise_bound,h_threshold,delta,trial_id,success,time_lll,h_ratio_init,h_ratio_reduced,shortest_gs_norm,noise_norm
20,3,3,0.800000000000000,0.750000000000000,4,True,0.4321732521057129,2.7755063110776474e-21,0.7935113205669074,0.48972988574020704,9.327379053088816
20,3,3,0.800000000000000,0.800000000000000,3,True,0.4324824810028076,3.810502657167938e-21,0.7989997505766356,0.45256687294631015,9.327379053088816
20,3,3,0.800000000000000,0.750000000000000,2,True,0.42104411125183105,2.7855984188192084e-21,0.8004780887511933,0.3950897473614301,9.327379053088816
20,3,3,0.800000000000000,0.750000000000000,1,True,0.4389464855194092,1.9814985668030574e-20,0.7952362405985537,0.6433105703024764,9.327379053088816
20,3,3,0.800000000000000,0.750000000000000,0,True,0.4280233383178711,3.7360919466759035e-19,0.804530750378917,0.5642034980200802,9.327379053088816
20,3,3,0.800000000000000,0.990000000000000,0,True,0.41759538650512695,1.1617514410797958e-20,0.808532780894438,0.5604567963623633,9.327379053088816
20,3,3,0.800000000000000,0.800000000000000,4,True,0.42400264739990234,2.6513081589661927e-21,0.7790596330873664,0.4754392146084321,9.327379053088816
20,3,3,0.800000000000000,0.800000000000000,0,True,0.4336991310119629,4.249337855344583e-21,0.8021453832611604,0.46034840366461677,9.327379053088816
20,3,3,0.800000000000000,0.800000000000000,2,True,0.42771005630493164,6.6938167839236646e-21,0.8068501039709594,0.5700866356113065,9.327379053088816
20,3,3,0.800000000000000,0.800000000000000,1,True,0.42844247817993164,9.635987105951554e-19,0.808726517733526,0.42912690943917375,9.327379053088816
20,3,3,0.800000000000000,0.750000000000000,3,True,0.4317343235015869,1.2836885898203032e-20,0.7931103459648248,0.6522622695302286,9.327379053088816
20,3,3,0.800000000000000,0.990000000000000,2,True,0.008585214614868164,8.574623897826171e-22,0.8248949116946412,0.3886322165568212,8.366600265340756
20,3,3,0.800000000000000,0.990000000000000,4,True,0.005601644515991211,9.67531580235635e-22,0.8248949116946418,0.35769650850857543,8.366600265340756
20,3,3,0.800000000000000,0.990000000000000,3,True,0.012567281723022461,9.67531580235635e-22,0.8248949116946418,0.35769650850857543,8.366600265340756
20,3,3,0.800000000000000,0.990000000000000,1,True,0.005450725555419922,4.481125099807977e-19,0.8238144755467076,0.5108366829424653,8.366600265340756
20,3,5,0.800000000000000,0.750000000000000,0,False,0.008021831512451172,6.209628412075174e-22,0.7491637658964291,0.35965596382619025,15.524174696260024
20,3,5,0.800000000000000,0.750000000000000,3,False,0.008082866668701172,8.574623897826171e-22,0.5995446657452926,0.3886322165568212,15.524174696260024
20,3,5,0.800000000000000,0.750000000000000,1,False,0.006840229034423828,7.638329434095555e-22,0.7988002998503455,0.4057956793716174,15.524174696260024
20,3,5,0.800000000000000,0.750000000000000,2,False,0.009724617004394531,1.0918451670454314e-21,0.7594046261494745,0.40984752258842777,15.524174696260024
20,3,5,0.800000000000000,0.750000000000000,4,False,0.006346464157104492,1.4093718164075678e-21,0.8051546353317874,0.5199979202104703,15.524174696260024
20,3,5,0.800000000000000,0.800000000000000,2,True,0.0022916793823242188,5.165959251799352e-22,0.846229801177083,0.3430655986249405,13.638181696985855
20,3,5,0.800000000000000,0.800000000000000,3,True,0.0025472640991210938,5.056665470089802e-22,0.8417426400264528,0.36206123813131635,13.638181696985855
20,3,5,0.800000000000000,0.800000000000000,0,True,0.006736278533935547,1.715073577915457e-21,0.8168171538234706,0.544724066387211,15.524174696260024
20,3,5,0.800000000000000,0.800000000000000,1,True,0.00743865966796875,2.04347344384578e-21,0.819025055156128,0.5898845655474515,15.524174696260024
20,3,5,0.800000000000000,0.800000000000000,4,True,0.002523660659790039,5.765895781597821e-22,0.8472196596551558,0.38576371615237437,13.638181696985855
20,3,5,0.800000000000000,0.990000000000000,0,True,0.003548145294189453,3.2953189517116146e-21,0.8472196596551561,0.48893584382522703,13.638181696985855
20,3,8,0.800000000000000,0.750000000000000,1,False,0.002095937728881836,3.2005533310234223e-21,0.8243871855066033,0.48256991320459336,17.578395831246947
20,3,8,0.800000000000000,0.750000000000000,2,False,0.0022203922271728516,8.611261115348085e-21,0.8252123307263868,0.5897242008234036,17.578395831246947
20,3,5,0.800000000000000,0.990000000000000,4,False,0.002658843994140625,1.3504300994423677e-21,0.8311050478577264,0.4445987305999416,15.427248620541512
20,3,8,0.800000000000000,0.800000000000000,0,False,0.0021567344665527344,6.6666003276946334e-21,0.8286214324251686,0.46444128204891605,17.578395831246947
20,3,5,0.800000000000000,0.990000000000000,1,True,0.005203962326049805,9.79776384667108e-22,0.8268562312615203,0.40530427326178553,15.427248620541512
20,3,5,0.800000000000000,0.990000000000000,3,True,0.0038652420043945312,1.0484021024719847e-21,0.8272356207644019,0.3655221476489393,15.427248620541512
20,3,8,0.800000000000000,0.750000000000000,0,False,0.003514528274536133,1.0131674610275572e-21,0.8257283682749594,0.3650547791390828,21.6794833886788
20,3,5,0.800000000000000,0.990000000000000,2,False,0.0035810470581054688,1.1010932110957195e-21,0.8345295643820072,0.38110908072807775,15.427248620541512
20,3,8,0.800000000000000,0.750000000000000,4,False,0.0026106834411621094,1.1010932110957274e-21,0.8212566132532215,0.38110908072807775,21.6794833886788
20,3,8,0.800000000000000,0.800000000000000,2,False,0.00251007080078125,1.467328248248652e-21,0.8078338298018273,0.37984639306648454,24.576411454889016
20,3,8,0.800000000000000,0.800000000000000,1,False,0.003350973129272461,1.205005696275093e-20,0.8046640406188076,0.5400224344592988,17.578395831246947
